Market Return (Buy and Hold),Strategy Total Return,Sharpe Ratio,Maximum Drawdown,Number of Trades,Win Rate,Fast SMA,Slow SMA
3.787978181923571,2.278831456480792,1.0034287369094659,-0.2935627002687571,21,0.5373878364905285,10,85
4.646489900293212,2.3047821095275847,0.9998779684561622,-0.34852046683995946,21,0.5404089581304771,20,65
4.423673970141472,2.279177019846193,0.9975382693697298,-0.40451048980074594,41,0.5387596899224806,5,60
3.5936074595185543,2.182709298650992,0.9891347509993974,-0.34951165425990705,21,0.5414585414585414,15,95
3.5561768515520127,2.150865278118777,0.974616032188261,-0.3168901532686473,21,0.5383848454636092,10,90
4.646489900293212,2.1482177359143844,0.9726994766040934,-0.420736847915775,21,0.5439453125,25,65
4.673714831472592,2.2296252072378397,0.9704214029893944,-0.4445102271620525,27,0.534816247582205,10,55
3.5561768515520127,2.0879294522369705,0.9646915730819356,-0.3404532938873357,21,0.5395395395395396,15,90
3.463006152778667,2.042291227439275,0.9644730805586428,-0.35828235137704706,19,0.5432595573440644,15,100
3.1577716922630996,2.2307117403847134,0.9637470794406818,-0.4058577830015547,43,0.539,25,35
3.463006152778667,2.0431215821834243,0.9585677670802808,-0.2793598311541112,21,0.5379939209726444,10,100
4.423673970141472,2.1438567747503092,0.9584881932675421,-0.4106937400149976,27,0.5345666991236612,15,60
4.6743273351242545,2.200048197685572,0.9547116982937961,-0.40034461821683887,37,0.5337904015670911,10,50
3.9314293768113453,2.091383637974,0.9545169543819467,-0.2666918298473198,21,0.5372393247269116,15,75
4.423673970141472,2.0505631420200574,0.9516560645703181,-0.39553615162560607,23,0.5407262021589794,25,60
4.6743273351242545,1.8698594743518737,0.9309466731633825,-0.3293782141996565,29,0.5355303810504635,30,50
3.787978181923571,1.9390942508974627,0.9251707316471551,-0.37243814229292144,21,0.5384615384615384,15,85
3.797300542497852,1.9976385003400208,0.911545369665853,-0.4542870858207906,39,0.5362462760675273,10,45
4.673714831472592,1.9042535906199705,0.9114092559904992,-0.3737346876828605,27,0.5353938185443669,25,55
4.6743273351242545,1.8773822440841053,0.8992295321971018,-0.3898154991495474,31,0.5365612648221344,20,50
4.227462310741954,1.8468458332703603,0.8972968790912978,-0.40897854225297087,23,0.5377821393523062,20,70
4.673714831472592,1.9044768937278418,0.8938256523887071,-0.4130480770959589,29,0.5329457364341085,15,55
4.423673970141472,1.8756317913076415,0.8907419613959945,-0.44171754534696955,25,0.5364431486880467,20,60
4.6743273351242545,1.8850490706485714,0.887472797764968,-0.41215334154586974,33,0.5313725490196078,15,50
3.940700195941216,1.7685570665616739,0.8769790403637392,-0.3442973143619558,21,0.5349301397205589,15,80
3.797300542497852,1.8057297644167067,0.8688079153295927,-0.43091191816278185,31,0.5338645418326693,15,45
4.673714831472592,1.7000531325648347,0.8579779581897611,-0.465174456111656,29,0.5359223300970873,20,55
4.673714831472592,1.6954860354262862,0.8562691839090557,-0.46888158971952937,43,0.533724340175953,5,55
3.7966069431277347,1.760126265798728,0.84537962139367,-0.4451265056658543,41,0.535,10,40
3.7966069431277347,1.6986761427310038,0.8417069491874328,-0.4286591946807277,37,0.535,20,40
3.7966069431277347,1.6496865297199181,0.8277151350058912,-0.451476588846483,35,0.5348133198789102,15,40
3.7966069431277347,1.6007905561494051,0.8191748018987036,-0.4851755110512181,35,0.5317220543806647,25,40
4.6743273351242545,1.527087186930148,0.8074178208967839,-0.41694062399108833,29,0.5348133198789102,25,50
3.1532822342544256,1.5658350175778417,0.8031966831124148,-0.4045837173043099,61,0.5301327885597549,25,30
